order_id,product_id,add_cart_order
1,162,1
1,97,2
1,20,3
1,8,4
1,17,5
1,50,6
1,29,7
2,9,1
2,139,2
2,156,3
2,93,4
2,12,5
2,39,6
2,33,7
2,115,8
2,74,9
3,175,1
3,79,2
3,176,3
3,119,4
3,111,5
3,91,6
3,173,7
3,33,8
3,67,9
4,140,1
4,139,2
4,143,3
4,103,4
4,27,5
4,51,6
4,12,7
4,116,8
4,45,9
4,36,10
4,107,11
5,31,1
6,120,1
6,52,2
6,11,3
6,177,4
7,43,1
7,34,2
7,21,3
7,194,4
7,3,5
7,183,6
7,158,7
7,76,8
7,109,9
7,171,10
7,19,11
7,94,12
7,63,13
7,176,14
7,3,15
7,200,16
7,5,17
7,76,18
7,77,19
8,116,1
8,200,2
8,127,3
8,112,4
8,163,5
8,176,6
8,109,7
8,182,8
8,182,9
8,6,10
8,147,11
8,30,12
8,41,13
8,160,14
8,161,15
8,78,16
8,182,17
8,74,18
9,91,1
9,84,2
9,67,3
9,42,4
9,9,5
9,163,6
9,103,7
9,81,8
9,186,9
9,83,10
9,200,11
9,139,12
9,118,13
9,54,14
9,175,15
9,61,16
10,172,1
10,51,2
10,117,3
10,21,4
10,11,5
10,46,6
10,26,7
10,18,8
10,151,9
10,113,10
10,127,11
10,167,12
10,85,13
10,101,14
10,103,15
10,77,16
10,129,17
10,174,18
11,67,1
11,91,2
11,35,3
11,131,4
11,11,5
11,138,6
11,156,7
11,13,8
11,150,9
11,122,10
11,89,11
11,50,12
11,25,13
11,41,14
11,144,15
11,131,16
11,103,17
11,5,18
11,103,19
11,57,20
11,200,21
12,63,1
12,187,2
12,90,3
12,136,4
12,115,5
12,120,6
12,6,7
12,162,8
12,34,9
12,194,10
12,21,11
12,16,12
12,79,13
12,25,14
12,185,15
12,77,16
13,48,1
13,151,2
13,121,3
13,187,4
13,187,5
13,82,6
13,26,7
13,163,8
13,136,9
13,161,10
13,15,11
14,125,1
14,67,2
14,6,3
14,140,4
14,26,5
14,83,6
14,41,7
14,147,8
14,199,9
14,34,10
14,128,11
14,182,12
14,106,13
14,73,14
14,21,15
14,149,16
14,107,17
14,124,18
15,164,1
15,188,2
15,128,3
15,116,4
15,72,5
15,16,6
15,16,7
15,140,8
15,63,9
15,94,10
15,121,11
15,47,12
15,136,13
15,21,14
15,26,15
15,103,16
15,184,17
15,4,18
15,72,19
15,163,20
16,183,1
16,116,2
17,86,1
17,96,2
17,40,3
17,192,4
17,20,5
17,200,6
17,122,7
17,90,8
18,86,1
18,165,2
18,62,3
18,47,4
18,3,5
19,102,1
19,146,2
19,77,3
19,99,4
19,40,5
19,87,6
19,191,7
19,150,8
19,6,9
19,104,10
19,124,11
19,116,12
19,150,13
19,86,14
19,106,15
19,192,16
19,114,17
19,1,18
19,3,19
20,24,1
20,144,2
20,33,3
21,105,1
21,175,2
21,35,3
21,172,4
21,24,5
21,187,6
21,44,7
21,198,8
21,65,9
21,90,10
21,167,11
21,182,12
21,24,13
21,111,14
21,45,15
21,17,16
21,177,17
21,171,18
21,108,19
21,172,20
22,120,1
22,120,2
22,127,3
22,14,4
22,60,5
22,21,6
22,119,7
22,32,8
22,2,9
22,9,10
22,186,11
22,112,12
23,53,1
24,62,1
24,129,2
24,118,3
24,69,4
24,157,5
24,19,6
24,51,7
24,86,8
24,162,9
24,84,10
24,25,11
24,25,12
24,126,13
24,14,14
24,170,15
24,147,16
24,37,17
24,58,18
24,62,19
24,198,20
25,80,1
25,181,2
25,120,3
25,44,4
25,35,5
25,191,6
25,148,7
25,81,8
25,143,9
25,182,10
25,2,11
25,23,12
25,93,13
25,41,14
25,63,15
25,35,16
25,190,17
25,46,18
25,121,19
25,17,20
26,147,1
26,61,2
26,196,3
26,83,4
26,157,5
26,190,6
26,43,7
26,135,8
27,7,1
27,48,2
27,38,3
27,11,4
27,32,5
27,107,6
27,195,7
27,123,8
27,143,9
27,156,10
27,7,11
27,71,12
27,179,13
28,22,1
28,193,2
28,57,3
28,4,4
28,64,5
28,198,6
28,194,7
28,170,8
28,75,9
28,154,10
29,161,1
29,63,2
29,177,3
29,63,4
29,67,5
29,17,6
29,10,7
30,166,1
30,119,2
30,77,3
30,65,4
30,148,5
30,86,6
30,36,7
30,140,8
30,90,9
30,3,10
30,138,11
30,102,12
30,113,13
30,3,14
30,22,15
30,74,16
30,35,17
30,178,18
31,180,1
31,166,2
31,32,3
31,103,4
31,107,5
