id,customer_id,order_status,order_date
1,311,open,2023-01-01
2,540,open,2023-01-01
3,264,delivered,2023-01-01
4,646,open,2023-01-01
5,275,open,2023-01-01
6,570,paid,2023-01-01
7,472,delivered,2023-01-01
8,120,delivered,2023-01-02
9,605,delivered,2023-01-02
10,687,delivered,2023-01-02
11,773,paid,2023-01-02
12,138,paid,2023-01-02
13,439,paid,2023-01-02
14,479,open,2023-01-02
15,715,delivered,2023-01-02
16,234,open,2023-01-02
17,546,open,2023-01-02
18,798,open,2023-01-02
19,732,delivered,2023-01-02
20,321,open,2023-01-02
21,71,open,2023-01-02
22,881,delivered,2023-01-02
23,217,delivered,2023-01-02
24,609,delivered,2023-01-02
25,911,paid,2023-01-02
26,816,paid,2023-01-02
27,273,open,2023-01-02
28,880,paid,2023-01-02
29,401,delivered,2023-01-02
30,956,open,2023-01-02
31,399,open,2023-01-02
32,950,delivered,2023-01-02
33,309,open,2023-01-02
34,133,delivered,2023-01-02
35,314,open,2023-01-02
36,299,paid,2023-01-02
37,51,open,2023-01-02
38,673,delivered,2023-01-02
39,30,paid,2023-01-02
40,514,delivered,2023-01-02
41,1000,delivered,2023-01-02
42,365,open,2023-01-02
43,930,delivered,2023-01-02
44,206,delivered,2023-01-02
45,171,open,2023-01-02
46,621,paid,2023-01-03
47,198,delivered,2023-01-03
48,562,open,2023-01-03
49,847,delivered,2023-01-03
50,791,open,2023-01-03
51,603,open,2023-01-03
52,393,delivered,2023-01-03
53,557,open,2023-01-03
54,831,paid,2023-01-03
55,637,paid,2023-01-03
56,309,delivered,2023-01-03
57,765,delivered,2023-01-03
58,789,paid,2023-01-03
59,536,paid,2023-01-03
60,377,open,2023-01-03
61,205,paid,2023-01-03
62,808,open,2023-01-03
63,222,paid,2023-01-03
64,333,delivered,2023-01-03
65,754,open,2023-01-03
66,91,paid,2023-01-03
67,632,paid,2023-01-03
68,912,paid,2023-01-03
69,224,open,2023-01-03
70,452,delivered,2023-01-03
71,591,paid,2023-01-03
72,267,delivered,2023-01-03
73,128,delivered,2023-01-03
74,33,delivered,2023-01-03
75,432,paid,2023-01-03
76,722,delivered,2023-01-03
77,995,paid,2023-01-03
78,71,open,2023-01-03
79,134,open,2023-01-03
80,86,delivered,2023-01-03
81,376,delivered,2023-01-03
82,334,paid,2023-01-03
83,917,paid,2023-01-03
84,246,open,2023-01-03
85,965,open,2023-01-03
86,115,delivered,2023-01-03
87,994,paid,2023-01-03
88,789,delivered,2023-01-03
89,493,paid,2023-01-03
90,477,delivered,2023-01-03
91,854,open,2023-01-03
92,297,delivered,2023-01-03
93,372,delivered,2023-01-03
94,107,paid,2023-01-03
95,102,paid,2023-01-03
96,151,paid,2023-01-04
97,648,open,2023-01-04
98,438,open,2023-01-04
99,218,open,2023-01-04
100,922,open,2023-01-04
101,980,paid,2023-01-04
102,17,delivered,2023-01-04
103,883,delivered,2023-01-04
104,152,open,2023-01-04
105,831,open,2023-01-04
106,797,paid,2023-01-04
107,332,delivered,2023-01-04
108,84,delivered,2023-01-04
109,386,open,2023-01-04
110,305,open,2023-01-04
111,333,delivered,2023-01-04
112,144,delivered,2023-01-04
113,311,delivered,2023-01-04
114,3,paid,2023-01-04
115,75,paid,2023-01-04
