visit_id,customer_id,visit_duration,payment_method,order_date
1,424,35,credit_card,2023-01-01
2,745,50,cash,2023-01-01
3,892,60,credit_card,2023-01-01
4,856,36,credit_card,2023-01-01
5,132,30,cash,2023-01-01
6,991,20,credit_card,2023-01-01
7,241,2,credit_card,2023-01-01
8,692,60,credit_card,2023-01-01
9,102,4,cash,2023-01-01
10,799,17,credit_card,2023-01-01
11,467,52,cash,2023-01-01
12,667,45,cash,2023-01-01
13,371,34,credit_card,2023-01-01
14,751,1,credit_card,2023-01-01
15,916,9,cash,2023-01-01
16,814,44,cash,2023-01-01
17,851,57,credit_card,2023-01-01
18,76,48,credit_card,2023-01-01
19,368,41,credit_card,2023-01-01
20,250,26,cash,2023-01-01
21,181,40,cash,2023-01-02
22,146,56,cash,2023-01-02
23,310,58,cash,2023-01-02
24,387,16,cash,2023-01-02
25,403,21,cash,2023-01-02
26,858,45,credit_card,2023-01-02
27,79,32,credit_card,2023-01-02
28,368,52,credit_card,2023-01-02
29,630,26,credit_card,2023-01-02
30,200,58,cash,2023-01-02
31,467,49,cash,2023-01-02
32,942,57,credit_card,2023-01-02
33,846,24,cash,2023-01-02
34,805,43,cash,2023-01-02
35,466,52,cash,2023-01-02
36,360,22,credit_card,2023-01-02
37,181,26,credit_card,2023-01-02
38,583,1,cash,2023-01-02
39,712,26,credit_card,2023-01-02
40,535,27,cash,2023-01-02
41,855,21,cash,2023-01-02
42,599,36,cash,2023-01-02
43,280,58,credit_card,2023-01-02
44,951,3,credit_card,2023-01-02
45,928,39,cash,2023-01-02
46,397,10,cash,2023-01-02
47,658,36,credit_card,2023-01-02
48,861,36,cash,2023-01-02
49,962,48,credit_card,2023-01-02
50,680,52,cash,2023-01-02
51,47,55,credit_card,2023-01-02
52,807,38,credit_card,2023-01-03
53,606,47,credit_card,2023-01-03
54,740,33,credit_card,2023-01-03
55,376,46,cash,2023-01-03
56,468,30,cash,2023-01-03
57,981,1,cash,2023-01-03
58,201,4,cash,2023-01-03
59,467,10,cash,2023-01-03
60,454,31,cash,2023-01-03
61,716,45,cash,2023-01-03
62,705,42,cash,2023-01-03
63,170,48,cash,2023-01-03
64,954,47,cash,2023-01-03
65,1000,12,credit_card,2023-01-03
66,750,32,credit_card,2023-01-03
67,15,22,credit_card,2023-01-03
68,866,57,credit_card,2023-01-03
69,361,36,cash,2023-01-03
70,599,17,credit_card,2023-01-03
71,544,6,cash,2023-01-03
72,922,3,credit_card,2023-01-03
73,842,14,credit_card,2023-01-03
74,405,57,cash,2023-01-03
75,141,47,cash,2023-01-03
76,72,19,credit_card,2023-01-03
77,109,40,credit_card,2023-01-03
78,660,46,credit_card,2023-01-03
79,110,47,cash,2023-01-03
80,216,5,cash,2023-01-03
81,497,42,cash,2023-01-03
82,449,7,cash,2023-01-03
